airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air India,2019-06-21,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6961
Jet Airways,2019-06-09,Delhi,Cochin,21:35:00,12:35:00,900,2.0,No Info,13882
Jet Airways,2019-03-03,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,No Info,17024
Jet Airways,2019-03-12,Banglore,New Delhi,16:55:00,07:40:00,885,1.0,No Info,13817
Indigo,2019-04-01,Kolkata,Banglore,21:00:00,02:15:00,315,1.0,No Info,5930
Air India,2019-04-03,Delhi,Cochin,17:20:00,09:25:00,965,1.0,No Info,5117
Indigo,2019-05-15,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,3597
Indigo,2019-03-24,Kolkata,Banglore,05:30:00,08:20:00,170,0.0,No Info,4778
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,20:50:00,860,2.0,In-flight meal not included,10118
Indigo,2019-03-01,Banglore,New Delhi,16:15:00,20:35:00,260,1.0,No Info,7917
Indigo,2019-03-18,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No Info,3342
Indigo,2019-04-06,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,4174
Indigo,2019-03-01,Banglore,New Delhi,16:55:00,19:45:00,170,0.0,No Info,12649
Jet Airways,2019-06-15,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,10262
Indigo,2019-04-03,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Indigo,2019-03-09,Chennai,Kolkata,17:05:00,19:40:00,155,0.0,No Info,6297
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,00:45:00,785,1.0,No Info,26890
Air India,2019-06-24,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,6961
Air India,2019-06-06,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,6094
Air India,2019-05-01,Kolkata,Banglore,16:45:00,21:05:00,1700,1.0,No Info,7452
Indigo,2019-05-09,Kolkata,Banglore,15:15:00,20:30:00,315,1.0,No Info,4565
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,20:45:00,855,1.0,No Info,14781
Multiple Carriers,2019-03-27,Delhi,Cochin,16:00:00,01:35:00,575,1.0,No Info,12327
Indigo,2019-03-21,Delhi,Cochin,09:10:00,15:30:00,380,1.0,No Info,9709
Spicejet,2019-04-21,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,4423
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,13469
Spicejet,2019-04-06,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4423
Spicejet,2019-03-24,Chennai,Kolkata,09:30:00,12:05:00,155,0.0,No check-in baggage included,3807
Jet Airways,2019-06-03,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,In-flight meal not included,10262
Air India,2019-05-24,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No Info,3625
Indigo,2019-05-27,Delhi,Cochin,08:30:00,21:00:00,750,1.0,No Info,6838
Indigo,2019-05-18,Delhi,Cochin,10:35:00,21:00:00,625,1.0,No Info,7503
Jet Airways,2019-06-06,Delhi,Cochin,14:35:00,04:25:00,830,2.0,No Info,13376
Jet Airways,2019-04-01,Kolkata,Banglore,16:30:00,16:20:00,1430,1.0,In-flight meal not included,7064
Jet Airways,2019-05-09,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,No Info,10953
Jet Airways,2019-06-09,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,In-flight meal not included,13994
Jet Airways,2019-05-12,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5198
Spicejet,2019-04-01,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No Info,3873
Air India,2019-03-01,Banglore,New Delhi,17:00:00,08:50:00,950,1.0,1 Long layover,10981
Multiple Carriers,2019-03-27,Delhi,Cochin,09:55:00,21:00:00,665,1.0,No Info,12537
Jet Airways,2019-06-03,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,6478
Multiple Carriers,2019-03-27,Delhi,Cochin,07:05:00,13:20:00,375,1.0,No Info,12537
Indigo,2019-06-03,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4049
Jet Airways,2019-06-03,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,No Info,14714
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,19:40:00,1435,1.0,No Info,13759
Spicejet,2019-06-15,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3919
Jet Airways,2019-06-27,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13292
Jet Airways,2019-05-21,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,No Info,14151
Air Asia,2019-05-15,Delhi,Cochin,16:45:00,07:10:00,865,1.0,No Info,6752
Multiple Carriers,2019-06-06,Delhi,Cochin,09:00:00,21:00:00,720,1.0,No Info,13587
Jet Airways,2019-06-12,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,No Info,13044
Air India,2019-06-09,Kolkata,Banglore,07:00:00,05:25:00,1345,2.0,No Info,12534
Jet Airways,2019-05-24,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,7229
Jet Airways,2019-06-15,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,10262
Indigo,2019-06-03,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,5277
Indigo,2019-06-06,Banglore,Delhi,00:25:00,03:15:00,170,0.0,No Info,3943
Air India,2019-04-01,Kolkata,Banglore,19:00:00,09:50:00,890,1.0,No Info,4227
Jet Airways,2019-03-06,Delhi,Cochin,09:00:00,18:50:00,590,1.0,No Info,17024
Indigo,2019-03-03,Mumbai,Hyderabad,06:20:00,07:45:00,85,0.0,No Info,4784
Indigo,2019-05-21,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No Info,2754
Jet Airways,2019-06-27,Delhi,Cochin,19:10:00,12:35:00,1045,2.0,No Info,15339
Jet Airways,2019-05-27,Delhi,Cochin,02:15:00,19:00:00,1005,1.0,No Info,16079
Multiple Carriers,2019-06-03,Delhi,Cochin,07:10:00,16:10:00,540,1.0,No Info,7878
Jet Airways,2019-06-03,Delhi,Cochin,09:40:00,19:00:00,560,2.0,No Info,13014
Indigo,2019-04-06,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4174
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,8529
Jet Airways,2019-05-09,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,No Info,13941
Vistara,2019-03-09,Banglore,New Delhi,06:40:00,21:55:00,915,1.0,No Info,10008
Air India,2019-03-27,Delhi,Cochin,21:00:00,19:15:00,1335,1.0,No Info,6692
Indigo,2019-03-21,Delhi,Cochin,07:35:00,16:10:00,515,1.0,No Info,6558
Spicejet,2019-03-09,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,6300
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,8586
Goair,2019-03-01,Banglore,New Delhi,07:45:00,10:40:00,175,0.0,No Info,13663
Air India,2019-06-06,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,10703
Indigo,2019-03-18,Kolkata,Banglore,10:10:00,12:55:00,165,0.0,No Info,4462
Indigo,2019-06-09,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Multiple Carriers,2019-03-03,Delhi,Cochin,15:25:00,01:35:00,610,1.0,No Info,15147
Spicejet,2019-04-06,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No Info,3873
Multiple Carriers,2019-03-21,Delhi,Cochin,07:10:00,21:20:00,850,2.0,In-flight meal not included,5935
Indigo,2019-03-03,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,7295
Indigo,2019-06-21,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,5755
Multiple Carriers,2019-06-01,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,13587
Air India,2019-03-03,Delhi,Cochin,21:30:00,19:15:00,1305,2.0,No Info,12497
Jet Airways,2019-04-09,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,4544
Jet Airways,2019-05-27,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,12898
Indigo,2019-03-09,Banglore,New Delhi,23:30:00,02:20:00,170,0.0,No Info,5694
Jet Airways,2019-05-18,Delhi,Cochin,19:30:00,04:25:00,535,2.0,In-flight meal not included,13029
Spicejet,2019-06-15,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Spicejet,2019-03-15,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No Info,6309
Indigo,2019-04-15,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No Info,4423
Multiple Carriers,2019-06-06,Delhi,Cochin,08:30:00,19:15:00,645,1.0,No Info,7677
Jet Airways,2019-05-18,Kolkata,Banglore,14:05:00,10:05:00,1200,1.0,In-flight meal not included,9663
Indigo,2019-06-18,Kolkata,Banglore,20:25:00,23:10:00,165,0.0,No Info,4804
Indigo,2019-04-06,Delhi,Cochin,04:55:00,13:20:00,505,1.0,No Info,5307
Indigo,2019-03-03,Delhi,Cochin,07:35:00,21:20:00,825,2.0,No Info,9413
Jet Airways,2019-05-27,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,7229
Jet Airways,2019-06-12,Kolkata,Banglore,14:05:00,18:15:00,1690,1.0,In-flight meal not included,8529
Multiple Carriers,2019-03-27,Delhi,Cochin,10:45:00,19:15:00,510,1.0,No Info,7154
Jet Airways,2019-04-09,Delhi,Cochin,20:55:00,12:35:00,940,1.0,No Info,11822
Jet Airways,2019-06-09,Delhi,Cochin,10:00:00,04:25:00,1105,1.0,In-flight meal not included,10262
Jet Airways,2019-05-27,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,In-flight meal not included,12898
Jet Airways,2019-03-24,Kolkata,Banglore,21:10:00,18:10:00,1260,1.0,No Info,13759
Air India,2019-06-15,Delhi,Cochin,10:00:00,19:15:00,555,1.0,No Info,11241
Jet Airways,2019-04-12,Banglore,Delhi,11:10:00,14:05:00,175,0.0,No Info,7229
Jet Airways,2019-06-24,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No Info,18371
Jet Airways,2019-05-09,Kolkata,Banglore,16:30:00,23:35:00,425,1.0,No Info,14781
Air India,2019-05-12,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No Info,11411
Multiple Carriers,2019-03-03,Delhi,Cochin,08:00:00,15:30:00,450,1.0,No Info,17057
Jet Airways,2019-03-06,Mumbai,Hyderabad,20:45:00,16:50:00,1205,1.0,No Info,19595
Spicejet,2019-05-06,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3971
Vistara,2019-06-06,Kolkata,Banglore,20:20:00,18:50:00,1350,1.0,No Info,8820
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,23:35:00,395,1.0,No Info,14151
Jet Airways,2019-03-21,Delhi,Cochin,07:05:00,12:35:00,330,1.0,In-flight meal not included,14053
Air India,2019-03-01,Banglore,New Delhi,06:45:00,12:15:00,330,1.0,No Info,23677
Indigo,2019-06-12,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Air India,2019-05-15,Delhi,Cochin,19:45:00,19:15:00,1410,2.0,No Info,11491
Indigo,2019-05-12,Mumbai,Hyderabad,12:00:00,13:30:00,90,0.0,No Info,2754
Indigo,2019-03-06,Delhi,Cochin,17:10:00,01:35:00,505,1.0,No Info,14871
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,09:05:00,965,1.0,No Info,10027
Air India,2019-03-24,Kolkata,Banglore,20:30:00,16:15:00,1185,1.0,No Info,12173
Multiple Carriers,2019-03-09,Delhi,Cochin,13:15:00,22:20:00,545,1.0,No Info,9856
Vistara,2019-06-21,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No Info,11982
Indigo,2019-05-21,Mumbai,Hyderabad,20:05:00,21:40:00,95,0.0,No Info,2227
Multiple Carriers,2019-03-01,Delhi,Cochin,00:20:00,13:20:00,780,1.0,No Info,29528
Jet Airways,2019-05-06,Kolkata,Banglore,06:30:00,20:45:00,855,1.0,In-flight meal not included,9663
Jet Airways,2019-06-01,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No Info,8016
Goair,2019-05-18,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No Info,4239
Jet Airways,2019-03-01,Banglore,New Delhi,18:40:00,09:30:00,890,1.0,1 Long layover,31825
Air India,2019-06-24,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No Info,5201
Air India,2019-03-18,Banglore,New Delhi,21:05:00,23:55:00,170,0.0,No Info,4441
Spicejet,2019-06-21,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,2647
Jet Airways,2019-04-01,Kolkata,Banglore,14:05:00,19:50:00,345,1.0,No Info,13364
Air India,2019-05-03,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No Info,6121
Multiple Carriers,2019-06-01,Delhi,Cochin,14:00:00,01:30:00,690,1.0,No Info,13377
Indigo,2019-04-18,Banglore,Delhi,00:30:00,03:25:00,175,0.0,No Info,4423
Air Asia,2019-03-24,Kolkata,Banglore,07:35:00,22:55:00,920,1.0,No Info,6785
Multiple Carriers,2019-06-24,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No Info,10877
Spicejet,2019-03-03,Kolkata,Banglore,06:55:00,09:35:00,160,0.0,No Info,4622
Indigo,2019-06-21,Delhi,Cochin,21:05:00,00:20:00,195,0.0,No Info,5406
Air India,2019-06-03,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Air India,2019-03-09,Banglore,New Delhi,11:05:00,09:15:00,1330,1.0,No Info,11077
Jet Airways,2019-04-01,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No Info,11467
Indigo,2019-05-12,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Jet Airways,2019-06-24,Delhi,Cochin,15:00:00,12:35:00,1295,1.0,In-flight meal not included,10262
Indigo,2019-06-12,Mumbai,Hyderabad,09:10:00,10:40:00,90,0.0,No Info,4049
Vistara,2019-05-06,Kolkata,Banglore,07:10:00,23:25:00,975,1.0,No Info,8085
Jet Airways,2019-05-15,Kolkata,Banglore,16:30:00,16:20:00,1430,1.0,In-flight meal not included,10844
Jet Airways,2019-05-18,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,No Info,14151
Indigo,2019-05-18,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Spicejet,2019-03-01,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No Info,11690
Indigo,2019-03-09,Banglore,New Delhi,07:30:00,12:20:00,290,1.0,No Info,5694
Jet Airways,2019-06-24,Delhi,Cochin,11:45:00,04:25:00,1000,2.0,No Info,13357
Indigo,2019-04-12,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No Info,5224
Multiple Carriers,2019-05-09,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7575
Jet Airways,2019-06-01,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,10262
Jet Airways,2019-05-24,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,4030
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,19:50:00,800,1.0,In-flight meal not included,10844
Indigo,2019-03-24,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,8033
Multiple Carriers,2019-06-24,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,10678
Indigo,2019-03-24,Kolkata,Banglore,14:30:00,20:10:00,340,1.0,No Info,9413
Jet Airways,2019-05-18,Delhi,Cochin,19:15:00,19:00:00,1425,1.0,In-flight meal not included,12373
Indigo,2019-04-12,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No Info,4174
Air India,2019-06-12,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5201
Indigo,2019-04-06,Banglore,Delhi,22:10:00,01:00:00,170,0.0,No Info,3943
Indigo,2019-05-06,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No Info,5069
Indigo,2019-06-21,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Jet Airways,2019-05-15,Kolkata,Banglore,06:30:00,16:20:00,590,1.0,No Info,14781
Indigo,2019-03-03,Banglore,New Delhi,00:40:00,03:25:00,165,0.0,No Info,6144
Air India,2019-03-12,Banglore,New Delhi,06:45:00,18:05:00,2120,3.0,No Info,13387
Vistara,2019-03-06,Mumbai,Hyderabad,08:45:00,19:55:00,670,1.0,No Info,12395
Jet Airways,2019-05-03,Banglore,Delhi,08:20:00,11:20:00,180,0.0,In-flight meal not included,5198
Vistara,2019-05-01,Kolkata,Banglore,20:20:00,20:20:00,1440,1.0,No Info,8610
Spicejet,2019-06-12,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Multiple Carriers,2019-05-18,Delhi,Cochin,14:55:00,22:30:00,455,1.0,No Info,7740
Air Asia,2019-04-24,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,3383
Air India,2019-06-09,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No Info,8456
Indigo,2019-05-15,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No Info,4804
Jet Airways,2019-06-12,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No Info,8016
Jet Airways,2019-06-12,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,10262
Indigo,2019-05-12,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Multiple Carriers,2019-06-03,Delhi,Cochin,10:20:00,01:30:00,910,1.0,No Info,6795
Air India,2019-06-15,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No Info,8907
Multiple Carriers,2019-06-15,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No Info,12192
Indigo,2019-04-27,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No Info,4804
Jet Airways,2019-06-03,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
Spicejet,2019-06-27,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No Info,3625
Air Asia,2019-05-27,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,3383
Jet Airways,2019-06-15,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No Info,13014
Jet Airways,2019-06-06,Delhi,Cochin,05:30:00,19:00:00,810,2.0,In-flight meal not included,10368
Indigo,2019-04-21,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No Info,4990
Spicejet,2019-03-21,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No Info,4945
Jet Airways,2019-03-03,Delhi,Cochin,02:15:00,18:50:00,995,1.0,No Info,17024
Multiple Carriers,2019-05-15,Delhi,Cochin,10:00:00,19:00:00,540,1.0,No Info,10197
Jet Airways,2019-06-06,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,10262
Jet Airways,2019-05-27,Delhi,Cochin,11:30:00,19:00:00,450,1.0,No Info,16079
Jet Airways,2019-04-01,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,No Info,13364
Jet Airways,2019-03-18,Banglore,New Delhi,14:05:00,19:10:00,305,1.0,No Info,14815
Multiple Carriers,2019-06-15,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,8614
Multiple Carriers,2019-05-15,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No Info,8099
Air India,2019-06-15,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,8839
Air Asia,2019-03-27,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No Info,3782
Jet Airways,2019-06-09,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,10577
Indigo,2019-06-09,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,6104
Multiple Carriers,2019-05-18,Delhi,Cochin,11:30:00,19:15:00,465,1.0,No Info,14533
Goair,2019-03-03,Banglore,New Delhi,20:55:00,23:50:00,175,0.0,No Info,6722
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,21:05:00,1685,1.0,No Info,14151
Indigo,2019-05-01,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No Info,4804
Multiple Carriers,2019-03-27,Delhi,Cochin,07:10:00,22:20:00,910,1.0,No Info,6145
Air India,2019-06-01,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Spicejet,2019-03-27,Kolkata,Banglore,06:55:00,09:35:00,160,0.0,No check-in baggage included,3815
Jet Airways,2019-05-21,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Air India,2019-03-03,Banglore,New Delhi,08:50:00,10:35:00,1545,2.0,No Info,12358
Jet Airways,2019-03-27,Delhi,Cochin,17:30:00,19:45:00,1575,1.0,In-flight meal not included,5406
Air India,2019-03-24,Kolkata,Banglore,05:55:00,23:15:00,2480,2.0,No Info,13990
Jet Airways,2019-05-01,Kolkata,Banglore,20:00:00,09:20:00,800,1.0,In-flight meal not included,9663
Indigo,2019-04-27,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,6015
Air Asia,2019-06-06,Kolkata,Banglore,15:10:00,23:30:00,500,2.0,No Info,6810
Spicejet,2019-04-09,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Multiple Carriers,2019-06-15,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,9526
Spicejet,2019-05-24,Kolkata,Banglore,11:35:00,18:50:00,435,1.0,No Info,8479
Spicejet,2019-04-27,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Jet Airways,2019-06-24,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,In-flight meal not included,3210
Air India,2019-05-12,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,3100
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,10:25:00,1050,1.0,In-flight meal not included,11087
Indigo,2019-05-27,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,3943
Indigo,2019-05-27,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Spicejet,2019-06-01,Kolkata,Banglore,14:55:00,17:25:00,150,0.0,No check-in baggage included,3841
Vistara,2019-05-06,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No Info,4668
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,10:55:00,1520,1.0,No Info,12692
Jet Airways,2019-05-15,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,No Info,12121
Jet Airways,2019-06-01,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,No Info,13014
Air India,2019-03-27,Delhi,Cochin,09:45:00,08:15:00,1350,1.0,No Info,7416
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,485,2.0,In-flight meal not included,8367
Spicejet,2019-05-12,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,No Info,14781
Jet Airways,2019-03-06,Delhi,Cochin,15:05:00,04:25:00,800,1.0,No Info,15764
Indigo,2019-05-15,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No Info,6979
